Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,27 Jun 2006,39734,39734,353652.02
FUTCOM,28 Jun 2006,26696,26696,235261.75
FUTCOM,29 Jun 2006,23163,23163,204911.49
FUTCOM,30 Jun 2006,37744,37744,344137.14
FUTCOM,01 Jul 2006,2299,2299,21281.4
FUTCOM,03 Jul 2006,19069,19069,178367.96
FUTCOM,04 Jul 2006,2824,2824,26357.91
FUTCOM,05 Jul 2006,45757,45757,430510.55
FUTCOM,06 Jul 2006,38389,38389,362238.53
FUTCOM,07 Jul 2006,42314,42314,401826.33
FUTCOM,08 Jul 2006,1169,1169,11082.65
FUTCOM,10 Jul 2006,39425,39425,370627.71
FUTCOM,11 Jul 2006,34123,34123,324593.4
FUTCOM,12 Jul 2006,58761,58761,570869.59
FUTCOM,13 Jul 2006,55534,55534,542676.35
FUTCOM,14 Jul 2006,45006,45006,448106.02
FUTCOM,15 Jul 2006,5134,5134,51559.84
FUTCOM,17 Jul 2006,69831,69831,697196.79
FUTCOM,18 Jul 2006,70450,70450,689179.17
FUTCOM,19 Jul 2006,81592,81592,784789.33
FUTCOM,20 Jul 2006,55730,55730,541070.34
FUTCOM,21 Jul 2006,63562,63562,606424.81
FUTCOM,22 Jul 2006,1680,1680,15903.65
FUTCOM,24 Jul 2006,62658,62658,585471.39
FUTCOM,25 Jul 2006,51603,51603,486370.36
FUTCOM,26 Jul 2006,38606,38606,363372.03
FUTCOM,27 Jul 2006,49515,49515,475224.56
FUTCOM,28 Jul 2006,41924,41924,402170.34
FUTCOM,29 Jul 2006,2635,2635,25488.06
FUTCOM,31 Jul 2006,41883,41883,404817.72
FUTCOM,01 Aug 2006,37142,37142,362220.25
FUTCOM,02 Aug 2006,43777,43777,435661.49
FUTCOM,03 Aug 2006,44680,44680,441842.68
FUTCOM,04 Aug 2006,33855,33855,336082.92
FUTCOM,05 Aug 2006,1040,1040,10283.87
FUTCOM,07 Aug 2006,30571,30571,303583.48
FUTCOM,08 Aug 2006,27366,27366,269792.05
FUTCOM,09 Aug 2006,41035,41035,405679.38
FUTCOM,10 Aug 2006,53108,53108,523503.54
FUTCOM,11 Aug 2006,49586,49586,484260.13
FUTCOM,12 Aug 2006,1248,1248,12111.69
FUTCOM,14 Aug 2006,39067,39067,376310.33
FUTCOM,16 Aug 2006,36543,36543,352615.72
FUTCOM,17 Aug 2006,38268,38268,366445.2
FUTCOM,18 Aug 2006,42140,42140,397312.23
FUTCOM,19 Aug 2006,1332,1332,12581.42
FUTCOM,21 Aug 2006,33116,33116,316469.94
FUTCOM,22 Aug 2006,33606,33606,321491.08
FUTCOM,23 Aug 2006,36059,36059,345670.13
FUTCOM,24 Aug 2006,35407,35407,338255.65
FUTCOM,25 Aug 2006,25837,25837,246485.06
FUTCOM,26 Aug 2006,823,823,7862.44
FUTCOM,28 Aug 2006,25077,25077,237696.56
FUTCOM,29 Aug 2006,34125,34125,320864.15
FUTCOM,30 Aug 2006,34561,34561,326691.32
FUTCOM,31 Aug 2006,35531,35531,339333.49
FUTCOM,01 Sep 2006,32664,32664,311591.46
FUTCOM,02 Sep 2006,816,816,7798.7
FUTCOM,04 Sep 2006,6209,6209,59354.59
FUTCOM,05 Sep 2006,40455,40455,390049.79
FUTCOM,06 Sep 2006,30922,30922,298753.13
FUTCOM,07 Sep 2006,49205,49205,467602.73
FUTCOM,08 Sep 2006,45845,45845,427310.41
FUTCOM,09 Sep 2006,1672,1672,15591.65
FUTCOM,11 Sep 2006,68179,68179,615336.59
FUTCOM,12 Sep 2006,44772,44772,404765.24
FUTCOM,13 Sep 2006,60489,60489,540297.13
FUTCOM,14 Sep 2006,51970,51970,465407.62
FUTCOM,15 Sep 2006,53627,53627,469668.11
FUTCOM,16 Sep 2006,2170,2170,19163.88
FUTCOM,18 Sep 2006,44632,44632,394942.91
FUTCOM,19 Sep 2006,47661,47661,420799.84
FUTCOM,20 Sep 2006,46489,46489,407542.24
FUTCOM,21 Sep 2006,44023,44023,385712.13
FUTCOM,22 Sep 2006,41608,41608,369568.83
FUTCOM,23 Sep 2006,2428,2428,21699.71
FUTCOM,25 Sep 2006,44195,44195,390991.7
FUTCOM,26 Sep 2006,37837,37837,336650.42
FUTCOM,27 Sep 2006,43790,43790,392502.67
FUTCOM,28 Sep 2006,44226,44226,401621.24
FUTCOM,29 Sep 2006,36319,36319,329011.2
FUTCOM,30 Sep 2006,9263,9263,83234.32
FUTCOM,03 Oct 2006,40024,40024,359228.73
FUTCOM,04 Oct 2006,54388,54388,476345.07
FUTCOM,05 Oct 2006,38750,38750,337576.76
FUTCOM,06 Oct 2006,51227,51227,444553.44
FUTCOM,07 Oct 2006,1497,1497,13082.29
FUTCOM,09 Oct 2006,43670,43670,384396.92
FUTCOM,10 Oct 2006,48335,48335,422944.61
FUTCOM,11 Oct 2006,45465,45465,396683.68
FUTCOM,12 Oct 2006,41670,41670,363185.92
FUTCOM,13 Oct 2006,49617,49617,437432.85
FUTCOM,14 Oct 2006,3702,3702,32936.05
FUTCOM,16 Oct 2006,36712,36712,327693.83
FUTCOM,17 Oct 2006,44569,44569,396114.15
FUTCOM,18 Oct 2006,32901,32901,291651.63
FUTCOM,19 Oct 2006,41799,41799,370583.07
FUTCOM,20 Oct 2006,31083,31083,276758.03
FUTCOM,21 Oct 2006,2258,2258,20010.96
FUTCOM,23 Oct 2006,34125,34125,298952.84
FUTCOM,24 Oct 2006,32889,32889,285417.64
FUTCOM,25 Oct 2006,34288,34288,299828.39
FUTCOM,26 Oct 2006,35230,35230,311835.28
FUTCOM,27 Oct 2006,32894,32894,291373.97
FUTCOM,28 Oct 2006,1365,1365,12129.02
FUTCOM,30 Oct 2006,38239,38239,341552.48
FUTCOM,31 Oct 2006,39080,39080,346826.83
FUTCOM,01 Nov 2006,38284,38284,343055.5
FUTCOM,02 Nov 2006,36429,36429,329619.46
FUTCOM,03 Nov 2006,49172,49172,448127.32
FUTCOM,04 Nov 2006,2185,2185,20046.69
FUTCOM,06 Nov 2006,34389,34389,314625.53
FUTCOM,07 Nov 2006,31797,31797,290809.62
FUTCOM,08 Nov 2006,40987,40987,372187.55
FUTCOM,09 Nov 2006,46321,46321,420447.29
FUTCOM,10 Nov 2006,46721,46721,428671.47
FUTCOM,11 Nov 2006,925,925,8475.54
FUTCOM,13 Nov 2006,33362,33362,305258.08
FUTCOM,14 Nov 2006,34321,34321,314315.56
